연번,업소명,업소소재지(도로명),업소소재지(지번),인허가일자,객실수,한실수,양실수
1,무명여관,대전광역시 서구 계룡로620번길 7 (용문동),대전광역시 서구 용문동 589번지 4호   ,1980-02-13,15,12,3
2,계룡여관,대전광역시 서구 제비네3길 17 (도마동),대전광역시 서구 도마동 146번지 1호   ,1982-04-23,12,10,2
3,태양여인숙,대전광역시 서구 제비네2길 84 (도마동),대전광역시 서구 도마동 128번지 47호   ,1982-02-15,8,8,0
4,스칼렛모텔,대전광역시 서구 도산로369번길 28 (용문동),대전광역시 서구 용문동 590번지 17호   ,1983-09-14,32,0,32
5,신온장여관,대전광역시 서구 도산로 216 (변동),대전광역시 서구 변동 12번지 31호   ,1984-02-10,17,7,10
6,대호여관,대전광역시 서구 조달청길 90 (도마동),대전광역시 서구 도마동 99번지 1호   ,1984-11-17,19,6,13
7,청수파크,대전광역시 서구 계룡로636번길 14-27 (용문동),대전광역시 서구 용문동 590번지 1호   ,1985-11-02,20,15,5
8,띠아모모텔,대전광역시 서구 탄방로 68 (탄방동),대전광역시 서구 탄방동 86번지 3호   ,1986-10-29,12,6,6
9,백운장여관,대전광역시 서구 가장로 128 (가장동),대전광역시 서구 가장동 48번지 1호   ,1986-12-15,18,9,9
10,용문파크,대전광역시 서구 도산로 378 (용문동),대전광역시 서구 용문동 257번지 10호   ,1987-02-02,14,3,11
11,지앤모텔,대전광역시 서구 유등로 423 (가장동),대전광역시 서구 가장동 31번지 3호   ,1987-05-29,20,6,14
12,모텔퀸,대전광역시 서구 도마3길 26 (도마동),대전광역시 서구 도마동 143번지 19호   ,1989-04-25,19,8,11
13,엠모텔,대전광역시 서구 도솔5길 5 (도마동),대전광역시 서구 도마동 119번지 1호   ,1989-09-06,19,7,12
14,동경장여관,대전광역시 서구 변동로 48-17 (변동),대전광역시 서구 변동 50번지 16호   ,1990-09-20,15,2,13
15,진수장여관,대전광역시 서구 도산로167번길 20 (변동),대전광역시 서구 변동 59번지 5호   ,1990-09-20,20,0,20
16,맥(MAC)Ⅱ,대전광역시 서구 계룡로636번길 14-19 (용문동),대전광역시 서구 용문동 590번지 3호   ,1991-09-19,18,3,15
17,프로포즈모텔,대전광역시 서구 도산로369번길 26 (용문동),대전광역시 서구 용문동 590번지 16호   ,1993-12-14,28,3,25
18,JNK(제이앤케이)모텔,대전광역시 서구 계룡로620번길 32 (괴정동),대전광역시 서구 괴정동 426번지 13호  1~5층 ,1997-04-19,32,4,28
19,스카이모텔,대전광역시 서구 용문로 45 (괴정동),대전광역시 서구 괴정동 427번지 30호   ,1997-04-22,28,4,24
20,맥(MAC),대전광역시 서구 계룡로636번길 14-17 (용문동),대전광역시 서구 용문동 590번지 4호   ,1997-11-28,28,4,24
